Timestep,Phase Type,Phase Name,Species,Mole Percentage
6,solution,gas_ideal,PuF4,1.5029435607759172e-131
6,solution,gas_ideal,PuF6,54.11856634793597
6,solution,gas_ideal,Rb,1.5324479109593233e-32
6,solution,gas_ideal,Rb2,3.204229690020868e-67
6,solution,gas_ideal,Rb2F2,3.0460263479824552e-18
6,solution,gas_ideal,RbF,9.919989839861019e-11
6,solution,gas_ideal,Sr,8.462131875331063e-67
6,solution,gas_ideal,Sr2,7.254512263067508e-160
6,solution,gas_ideal,SrF,4.7113028586480117e-42
6,solution,gas_ideal,SrF2,1.5953131314861628e-17
6,solution,gas_ideal,U,8.852680638077258e-154
6,solution,gas_ideal,UF3,6.209439888533294e-34
6,solution,gas_ideal,UF4,4.679392662288004e-07
6,solution,gas_ideal,Zr,6.524770850539553e-151
6,solution,gas_ideal,ZrF,3.9015464907523145e-123
6,solution,gas_ideal,ZrF2,5.034182992163348e-63
6,solution,gas_ideal,ZrF3,1.4361249621094185e-35
6,solution,gas_ideal,ZrF4,2.0303360145351343e-07
7,solution,bccsoln,Mo,99.13032765810712
7,solution,bccsoln,Pd,0.01946118069963379
7,solution,bccsoln,Ru,0.734482727182482
7,solution,bccsoln,Tc,0.11572843401074923
7,solution,cphsoln,Mo,23.434823763856013
7,solution,cphsoln,Pd,9.505428227616509
7,solution,cphsoln,Ru,67.05278918616109
7,solution,cphsoln,Tc,0.006958822366374429
7,solution,gas_ideal,Ba,7.165432393668392e-69
7,solution,gas_ideal,Ba2,7.019404035682506e-164
7,solution,gas_ideal,BaF,4.276984038000597e-41
7,solution,gas_ideal,BaF2,8.541106108683472e-16
7,solution,gas_ideal,Be,7.660166873938985e-63
7,solution,gas_ideal,Be2,1.1675438445869683e-149
7,solution,gas_ideal,Be2F4,1.3361421917891098e-08
7,solution,gas_ideal,BeF,2.786620146388457e-36
7,solution,gas_ideal,BeF2,0.00024009189077898207
7,solution,gas_ideal,Ce,1.7365531803132512e-144
7,solution,gas_ideal,Ce2,1.7265816227323923e-197
7,solution,gas_ideal,CeF3,1.126164965629638e-14
7,solution,gas_ideal,Cr,2.137153298320708e-84
7,solution,gas_ideal,CrF,3.0855856267615885e-57
7,solution,gas_ideal,CrF2,2.3925745152943046e-35
7,solution,gas_ideal,CrF3,1.731437359670567e-16
7,solution,gas_ideal,Cs,2.5999287709410278e-36
7,solution,gas_ideal,Cs2,4.618567515627234e-110
