Timestep,Phase Type,Phase Name,Component,Mole Percentage
1,salt,MSFL,Cation:V[CN=IV,2.2545071184123794e-22
1,salt,MSFL,Cation:V[Dimer,6.807328770118998e-22
1,salt,MSFL,Cation:Y[3+],0.0001350653071407456
1,salt,MSFL,Cation:Yb[3+],5.080545211855305e-13
1,salt,MSFL,Cation:Zr[CN=VI,0.0004362963524458492
1,salt,MSFL,Cation:Zr[Dimer,9.46881540005212e-10
1,solid,bccsoln,As,0.004376416720583967
1,solid,bccsoln,B,1.917210541416662e-07
1,solid,bccsoln,Ir,6.264729957703275e-11
1,solid,bccsoln,Mo,7.095523148101252
1,solid,bccsoln,Nb,0.9757019311501944
1,solid,bccsoln,Os,4.2324895861244313e-14
1,solid,bccsoln,Re,6.276951564815759e-11
1,solid,bccsoln,Ru,0.9195302846665677
1,solid,bccsoln,Sb,0.4556686790574649
1,solid,bccsoln,Si,9.459084394132269e-11
1,solid,bccsoln,Ta,5.433532109611876e-11
1,solid,bccsoln,Tc,0.35538625671615076
1,solid,bccsoln,Te,90.19381309145804
1,solid,bccsoln,W,1.3432279804758603e-10
1,solid,cphsoln,As,0.0013335961725214778
1,solid,cphsoln,B,5.842187349128686e-08
1,solid,cphsoln,Ir,1.9090092253278225e-11
1,solid,cphsoln,Mo,2.162171273096393
1,solid,cphsoln,Nb,0.29731911835171154
1,solid,cphsoln,Os,3.213959801985044e-12
1,solid,cphsoln,Re,1.9127334338545404e-11
1,solid,cphsoln,Ru,69.8249413611039
1,solid,cphsoln,Sb,0.1388528664262729
1,solid,cphsoln,Si,2.428071048745805e-11
1,solid,cphsoln,Ta,1.655723868929022e-11
1,solid,cphsoln,Tc,0.09122479989605681
1,solid,cphsoln,Te,27.484156926408083
1,solid,cphsoln,W,4.093128712266085e-11
2,gas,gas_ideal,Ac,4.045449817233766e-174
2,gas,gas_ideal,Ac2,4.224586066460507e-210
2,gas,gas_ideal,AcF3,2.1718498061191617e-28
2,gas,gas_ideal,Ba,3.5584465333446155e-69
2,gas,gas_ideal,Ba2,1.3911479481692563e-163
2,gas,gas_ideal,BaF,2.1046900015947682e-41
2,gas,gas_ideal,BaF2,4.1648282078425534e-16
2,gas,gas_ideal,Be,7.809408471930193e-63
2,gas,gas_ideal,Be2,4.805250040537672e-149
2,gas,gas_ideal,Be2F4,1.3388917706380102e-08
2,gas,gas_ideal,BeF,2.8150761515825436e-36
2,gas,gas_ideal,BeF2,0.00024033793935127745
2,gas,gas_ideal,Bk,1.2708696261567042e-80
2,gas,gas_ideal,Bk2,7.819857732577044e-167
2,gas,gas_ideal,Bk2F4,2.178855018444764e-26
2,gas,gas_ideal,BkF,4.581134139958891e-54
2,gas,gas_ideal,BkF2,3.9111565009371026e-22
2,gas,gas_ideal,Ca,2.788691426873483e-79
2,gas,gas_ideal,Ca2,2.105523247024941e-170
2,gas,gas_ideal,CaF,1.573107924155167e-54
2,gas,gas_ideal,CaF2,5.397097439692949e-30
2,gas,gas_ideal,Ce,6.101728740886864e-161
2,gas,gas_ideal,Ce2,6.371918917461317e-197
2,gas,gas_ideal,CeF3,3.275788597458972e-15
2,gas,gas_ideal,Cf,4.728124795788644e-80
2,gas,gas_ideal,Cf2,2.909288449732617e-166
2,gas,gas_ideal,Cf2F4,8.106180387906241e-26
2,gas,gas_ideal,CfF,1.704358454570754e-53
2,gas,gas_ideal,CfF2,1.455100952267976e-21
2,gas,gas_ideal,Cs,2.452246356421006e-36
2,gas,gas_ideal,Cs2,1.08167597023279e-105
2,gas,gas_ideal,Cs2Be2F6,5.058252287301286e-20
2,gas,gas_ideal,Cs2Bk2F6,8.231582733154212e-38
2,gas,gas_ideal,Cs2Cf2F6,3.062466017612815e-37
2,gas,gas_ideal,Cs2Dy2F6,1.0307868205766869e-29
2,gas,gas_ideal,Cs2Er2F6,1.4482768925304955e-31
2,gas,gas_ideal,Cs2F2,4.333513658228536e-24
2,gas,gas_ideal,Cs2HfF6,6.463638766664624e-38
2,gas,gas_ideal,Cs2Ho2F6,3.499399868932549e-31
2,gas,gas_ideal,Cs2In2F6,2.442296612396595e-30
2,gas,gas_ideal,Cs2Mn2F6,4.6908080030969795e-38
2,gas,gas_ideal,Cs2Pm2F6,5.477156980241572e-26
2,gas,gas_ideal,Cs2Pr2F6,3.0759305740157023e-25
2,gas,gas_ideal,Cs2V2F6,2.012449493471696e-42
2,gas,gas_ideal,Cs2ZrF6,4.625699242823622e-25
2,gas,gas_ideal,CsBeF3,5.273507348061076e-10
2,gas,gas_ideal,CsBkF3,8.581879582882854e-28
2,gas,gas_ideal,CsCfF3,3.1927899459686592e-27
2,gas,gas_ideal,CsDyF3,1.0746521849537581e-19
2,gas,gas_ideal,CsErF3,1.509908640571473e-21
2,gas,gas_ideal,CsF,9.961360090702397e-13
2,gas,gas_ideal,CsHf2F9,3.9232624187051484e-32
2,gas,gas_ideal,CsHfF5,3.4789697483356155e-27
2,gas,gas_ideal,CsHoF3,3.64831761534487e-21
2,gas,gas_ideal,CsInF3,2.5462290925962615e-20
2,gas,gas_ideal,CsMnF3,4.890426389916879e-28
2,gas,gas_ideal,CsNpF5,3.2954117845001785e-16
2,gas,gas_ideal,CsPmF3,5.710238624178677e-16
2,gas,gas_ideal,CsPrF3,3.206827489589658e-15
2,gas,gas_ideal,CsUF5,2.5303396528073885e-12
2,gas,gas_ideal,CsVF3,2.0980897331016526e-32
2,gas,gas_ideal,CsZr2F9,2.807680418837429e-19
2,gas,gas_ideal,CsZrF5,2.4897226332755755e-14
2,gas,gas_ideal,Dy,1.5914262223682739e-72
2,gas,gas_ideal,Dy2,9.792292139711526e-159
2,gas,gas_ideal,Dy2F4,2.728436449911778e-18
2,gas,gas_ideal,DyF,5.736652169872657e-46
2,gas,gas_ideal,DyF2,4.8976833557669445e-14
2,gas,gas_ideal,Er,2.2359868966248564e-74
2,gas,gas_ideal,Er2,1.375837384389328e-160
2,gas,gas_ideal,Er2F4,3.8335098822222345e-20
2,gas,gas_ideal,ErF,8.060115449927206e-48
2,gas,gas_ideal,ErF2,6.881346840581545e-16
2,gas,gas_ideal,Es,1.1631234260368115e-171
2,gas,gas_ideal,EsF3,2.0326703015309456e-28
2,gas,gas_ideal,Eu,1.177219857823388e-160
2,gas,gas_ideal,EuF3,2.0573051748459503e-17
2,gas,gas_ideal,F,1.6090948996775587
2,gas,gas_ideal,F2,24.647369814902365
2,gas,gas_ideal,Gd,5.918538514480639e-164
2,gas,gas_ideal,Gd2,6.180616858864365e-200
2,gas,gas_ideal,GdF3,3.1774406570127996e-18
2,gas,gas_ideal,He,21.597437842463204
2,gas,gas_ideal,Hf,4.165295110623288e-172
2,gas,gas_ideal,HfF,6.493817688876713e-148
2,gas,gas_ideal,HfF2,2.356082650399885e-76
2,gas,gas_ideal,HfF3,6.810054341713888e-49
2,gas,gas_ideal,HfF4,9.754905982033819e-21
2,gas,gas_ideal,Ho,5.402704616319881e-74
2,gas,gas_ideal,Ho2,3.3243678660040054e-160
2,gas,gas_ideal,Ho2F4,9.262720442884955e-20
2,gas,gas_ideal,HoF,1.9475258560380965e-47
2,gas,gas_ideal,HoF2,1.6627058234655509e-15
2,gas,gas_ideal,In,3.770648590165969e-73
2,gas,gas_ideal,In2,2.3201385041996685e-159
2,gas,gas_ideal,In2F4,6.464625823437345e-19
2,gas,gas_ideal,InF,1.359214716495808e-46
2,gas,gas_ideal,InF2,1.1604334892144556e-14
2,gas,gas_ideal,La,2.3576460758119474e-168
2,gas,gas_ideal,La2,2.975488887843612e-197
2,gas,gas_ideal,LaF3,1.399137171875362e-16
2,gas,gas_ideal,Li,1.731477708172618e-33
2,gas,gas_ideal,Li2,1.3646681050918434e-66
2,gas,gas_ideal,Li2BeF4,9.175230363226713e-07
2,gas,gas_ideal,Li2BkF4,1.4931376202855385e-24
2,gas,gas_ideal,Li2CfF4,5.555047394866612e-24
2,gas,gas_ideal,Li2DyF4,1.8697577734334566e-16
2,gas,gas_ideal,Li2ErF4,2.627048506865814e-18
2,gas,gas_ideal,Li2F2,1.2096662423407714e-07
2,gas,gas_ideal,Li2HfF6,5.603538271425057e-24
2,gas,gas_ideal,Li2HoF4,6.347607455465982e-18
2,gas,gas_ideal,Li2InF4,4.430113952663794e-17
2,gas,gas_ideal,Li2MnF4,8.508718342525549e-25
2,gas,gas_ideal,Li2PmF4,9.935087096275216e-13
2,gas,gas_ideal,Li2PrF4,5.579470930846677e-12
2,gas,gas_ideal,Li2VF4,3.650408609178553e-29
2,gas,gas_ideal,Li2ZrF6,4.010168834456615e-11
2,gas,gas_ideal,Li3F3,1.7278443837399195e-09
2,gas,gas_ideal,LiBeF3,3.4559111029639366e-05
2,gas,gas_ideal,LiBkF3,5.624001442927521e-23
2,gas,gas_ideal,LiCfF3,2.0923452828337512e-22
2,gas,gas_ideal,LiDyF3,7.042566119058593e-15
2,gas,gas_ideal,LiErF3,9.894951672591664e-17
2,gas,gas_ideal,LiF,8.147250128125102e-07
2,gas,gas_ideal,LiHf2F9,3.541348960380353e-29
2,gas,gas_ideal,LiHoF3,2.390868263157908e-16
2,gas,gas_ideal,LiInF3,1.6686316735727238e-15
2,gas,gas_ideal,LiMnF3,3.2048649491984824e-23
2,gas,gas_ideal,LiNpF5,2.3169607008951882e-12
2,gas,gas_ideal,LiPmF3,3.74211615901669e-11
2,gas,gas_ideal,LiPrF3,2.1015445689361943e-10
2,gas,gas_ideal,LiUF5,1.7790485435071967e-08
2,gas,gas_ideal,LiVF3,1.3749505073329552e-27
2,gas,gas_ideal,LiZr2F9,2.534364279311153e-16
2,gas,gas_ideal,Lu,4.137939360037134e-174
2,gas,gas_ideal,Lu2,4.3211711315269156e-210
2,gas,gas_ideal,LuF3,2.221503961943767e-28
2,gas,gas_ideal,Mg,1.3943708282441478e-79
