Timestep,Salt:MSFL,Gas:gas_ideal,Solid:BaF2_FM3M_No.225(s),Solid:BeF2_L1(liq),Solid:C2_c,Solid:CsBe2F5_S2(s2),Solid:FM3M,Solid:Li2BeF4_S1(s),Solid:P3c1,Solid:R3c,Solid:SrF2_FM3M_No.225(s),Solid:bccsoln,Solid:cphsoln
108,0.6491662377811315,0.0005453363107248084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777665285665021e-06,0.0
109,0.6491662106349594,0.0005471636742890636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80943947053189e-06,0.0
110,0.6491653980209011,0.0005522336792796301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89850791384427e-06,0.0
111,0.6491653954207843,0.0005539740240698632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.928736071693703e-06,0.0
112,0.649165255561188,0.0005560756960925346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.965325369387088e-06,0.0
113,0.6491654207444681,0.0005572643514622223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985091071070403e-06,0.0
114,0.649164804253182,0.0005616096614112384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006082028916268e-05,0.0
115,0.6491651195486595,0.0005617732618244486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0061879244096876e-05,0.0
116,0.6491644055088508,0.0005667198628393145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014852321268909e-05,0.0
117,0.6491655123677657,0.0005644947399207855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107149131454546e-05,0.0
120,0.6491641156952497,0.0005750989721683273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0291027284396703e-05,0.0
123,0.6491639077660343,0.0005808106742344604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039099366848447e-05,0.0
124,0.6491638922264847,0.0005824242011532873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0419045569939682e-05,0.0
125,0.6491631674116091,0.0005871587620847347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0502334783172928e-05,0.0
126,0.6491632763651888,0.0005883072325878169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0521904097471987e-05,0.0
128,0.6491637223844035,0.0005968372977850417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083063118542083e-05,0.0
129,0.6491642381062338,0.0005987139029265587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0888457264413613e-05,0.0
130,0.6491649572940239,0.0005998948082017563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0916720179266009e-05,0.0
131,0.6491648734881745,0.0006048391840760813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009013115784032e-05,0.0
132,0.6491647120842026,0.0006094578736179204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1093662388970995e-05,0.0
134,0.6491645507215661,0.000618433462413986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1256008028805822e-05,0.0
136,0.6491644671570816,0.0006260030955931657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1390493555682798e-05,0.0
138,0.6491644999197593,0.0006326668935520643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1509388717387049e-05,0.0
140,0.6491643649437434,0.0006388805029961332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1617831302601893e-05,0.0
142,0.6491634384780679,0.0006491998802804036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1800671821556948e-05,0.0
143,0.6491638146519533,0.0006503811721072612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1820025446645728e-05,0.0
144,0.6491636222625946,0.0006532325706331563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1869382661534454e-05,0.0
146,0.6491631889541362,0.00065977223876144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1981760032873936e-05,0.0
148,0.64916392490171,0.0006626389851770105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2027272928986445e-05,0.0
150,0.6491627703052351,0.0006735251693121462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2219183754735441e-05,0.0
151,0.6491617766895816,0.0006800633553167627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2334163686202626e-05,0.0
152,0.6491620077051976,0.000681571281996066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23588225100852e-05,0.0
154,0.649163266013062,0.0006813590679019124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2349429063700373e-05,0.0
156,0.6491618532655516,0.0006917353279911183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252796569815359e-05,0.0
157,0.6491618965171221,0.0006939176085616641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2564836173243863e-05,0.0
159,0.6491613009626228,0.0007015009665583366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2696729298136283e-05,0.0
164,0.6491614190262357,0.0007123054013660866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2876601305949745e-05,0.0
168,0.6491610103162888,0.0007215679728586045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3031579815322072e-05,0.0
